species,scenario,year,phi_mean,phi_sd,gamma_mean,gamma_sd
LABO,rotation_5yr,2021,0.9688723643230964,0.02783581151268398,0.03807314554201514,0.0213561978993003
LABO,rotation_5yr,2022,0.9609843819442961,0.03234263896222667,0.08411789979649582,0.03589256004720392
LABO,rotation_5yr,2023,0.9343516292964125,0.040177021880368376,0.06443547219791813,0.03778975183538633
MYLU,full,2016,0.9476466449508495,0.02604701481326088,0.7509554578218105,0.13790177944386336
MYLU,full,2017,0.9766704103675498,0.014575132179459696,0.7464271334218799,0.15318846479771062
MYLU,full,2018,0.9519265179062546,0.016343904487993857,0.8085533862101546,0.15702748548022713
MYLU,full,2019,0.9370102039267745,0.01911850403348243,0.7081736921098523,0.15395612683167134
MYLU,full,2020,0.9583065810501731,0.016493842452707897,0.7585551471076024,0.11755041775483531
MYLU,full,2021,0.9606272392429853,0.014485862541143976,0.6135381725239891,0.1538554985598021
MYLU,full,2022,0.9738001737665888,0.013598549687376435,0.8352929672585759,0.11400938689049059
MYLU,full,2023,0.9453441347821365,0.018644066349370506,0.45899191989063015,0.2160820926615956
MYLU,rotation_2yr,2016,0.9589477553953936,0.023265715514696486,0.7902662855550608,0.12680318617718836
MYLU,rotation_2yr,2017,0.9762711656851115,0.01684222589847066,0.744574515061735,0.1825349114751866
MYLU,rotation_2yr,2018,0.9594026395320867,0.016650731578112376,0.591561588052342,0.2754081328865594
MYLU,rotation_2yr,2019,0.9269329750421251,0.021474355525320222,0.7899153590317929,0.15877197291382655
MYLU,rotation_2yr,2020,0.9665269988789121,0.01692043518202762,0.7502722050953575,0.12533382076717176
MYLU,rotation_2yr,2021,0.951079093608432,0.018171005958357113,0.6917782229575318,0.1879329785114441
MYLU,rotation_2yr,2022,0.9706170023565266,0.016681984207130206,0.7465606131963725,0.15659878743746916
MYLU,rotation_2yr,2023,0.9590291414198218,0.0189057003420718,0.529012356012217,0.2129395586793082
MYLU,rotation_3yr,2016,0.9315206583497952,0.031982534975507244,0.7286651931301887,0.14571825537471733
MYLU,rotation_3yr,2017,0.9895505031452512,0.010528929362260644,0.8749361774938543,0.11684118777288953
MYLU,rotation_3yr,2018,0.9722511957876144,0.013669184321034224,0.5803148326131289,0.2835859903164636
