"site","park_name","region","lat","long","n_years","is_bc_park","is_alaska","site_type"
"79018_NW","Meadow Creek","Kootenay Region",50.193827,-116.947519,9,FALSE,FALSE,"Fixed (BC)"
"79018_SE","Meadow Creek","Kootenay Region",50.187225,-116.904186,9,FALSE,FALSE,"Fixed (BC)"
"79018_SW","Meadow Creek","Kootenay Region",50.177706,-116.959679,9,FALSE,FALSE,"Fixed (BC)"
"86074_NE","Stave","South Coastal Region",49.23087,-122.305598,7,FALSE,FALSE,"Fixed (BC)"
"86074_NW","Stave","South Coastal Region",49.184424,-122.403309,4,FALSE,FALSE,"Fixed (BC)"
"86074_SE","Stave","South Coastal Region",49.169621,-122.319295,5,FALSE,FALSE,"Fixed (BC)"
"86074_SW","Stave","South Coastal Region",49.141737,-122.382035,7,FALSE,FALSE,"Fixed (BC)"
"89962_NE","Fort Shepherd","Kootenay Region",49.07682,-117.5986,2,FALSE,FALSE,"Fixed (BC)"
"89962_SE","Fort Shepherd","Kootenay Region",49.00974,-117.57236,2,FALSE,FALSE,"Fixed (BC)"
"89962_SW","Fort Shepherd","Kootenay Region",49.0077,-117.63034,2,FALSE,FALSE,"Fixed (BC)"
"93290_NE","Penticton","Okanagan Region",49.443606,-119.565345,5,FALSE,FALSE,"Fixed (BC)"
"93290_NW","Penticton","Okanagan Region",49.4153057,-119.6018008,8,FALSE,FALSE,"Fixed (BC)"
"93290_SE","Penticton","Okanagan Region",49.384329,-119.5616458,8,FALSE,FALSE,"Fixed (BC)"
"93290_SW","Penticton","Okanagan Region",49.37943,-119.59374,8,FALSE,FALSE,"Fixed (BC)"
"94522_NW","Haida Gwaii","Northern Region",53.10732,-131.86467,4,TRUE,FALSE,"BC Parks (Rotating)"
"94522_SE","Haida Gwaii","Northern Region",53.08196,-131.77925,3,TRUE,FALSE,"BC Parks (Rotating)"
"9466_NE","Kwadacha","Northern Region",57.34435226,-125.5093223,2,FALSE,FALSE,"Fixed (BC)"
"9466_NW","Kwadacha","Northern Region",57.345896,-125.5503739,2,FALSE,FALSE,"Fixed (BC)"
"9466_SE","Kwadacha","Northern Region",57.31574876,-125.4903741,2,FALSE,FALSE,"Fixed (BC)"
"9466_SW","Kwadacha","Northern Region",57.2948285,-125.5147378,2,FALSE,FALSE,"Fixed (BC)"
"986_NE","Bowron","Northern Region",53.188,-121.302249,7,TRUE,FALSE,"BC Parks (Rotating)"
"986_SE","Bowron","Northern Region",53.139202,-121.257697,7,TRUE,FALSE,"BC Parks (Rotating)"
