species,scenario,year,psi_mean,psi_lcl,psi_ucl
LABO,rotation_4yr,2024,0.39032083333333334,0.3489583333333333,0.4427083333333333
MYLU,full,2016,0.9150918586789555,0.8248847926267281,0.9769585253456221
MYLU,full,2017,0.9574396313364055,0.9032258064516129,0.9907834101382489
MYLU,full,2018,0.9617345622119816,0.9262672811059908,0.9861751152073732
MYLU,full,2019,0.9445007680491552,0.9170506912442397,0.9631336405529954
MYLU,full,2020,0.8963127496159754,0.8617511520737328,0.9262672811059908
MYLU,full,2021,0.9345548387096774,0.9032258064516129,0.9585253456221198
MYLU,full,2022,0.9240761904761905,0.8986175115207373,0.9447004608294931
MYLU,full,2023,0.9731539170506912,0.9539170506912442,0.9861751152073732
MYLU,full,2024,0.9357284178187404,0.9032258064516129,0.9585253456221198
MYLU,rotation_2yr,2016,0.9332446700507614,0.8477157360406091,0.9898477157360406
MYLU,rotation_2yr,2017,0.9692818950930626,0.9187817258883249,1
MYLU,rotation_2yr,2018,0.9636040609137055,0.9238578680203046,0.9898477157360406
MYLU,rotation_2yr,2019,0.9512642978003384,0.9238578680203046,0.9746192893401016
MYLU,rotation_2yr,2020,0.8873313028764805,0.8477157360406091,0.9187817258883249
MYLU,rotation_2yr,2021,0.9355553299492386,0.9035532994923858,0.9644670050761421
MYLU,rotation_2yr,2022,0.9245441624365482,0.8934010152284264,0.949238578680203
MYLU,rotation_2yr,2023,0.960878510998308,0.934010152284264,0.9796954314720813
MYLU,rotation_2yr,2024,0.9397692047377326,0.9086294416243654,0.9644670050761421
MYLU,rotation_3yr,2016,0.9355008547008548,0.8512820512820513,0.9897435897435898
MYLU,rotation_3yr,2017,0.9732519658119658,0.9282051282051282,1
MYLU,rotation_3yr,2018,0.9740369230769231,0.9384615384615385,0.9948717948717949
MYLU,rotation_3yr,2019,0.954659829059829,0.9282051282051282,0.9743589743589743
MYLU,rotation_3yr,2020,0.8835008547008547,0.841025641025641,0.9179487179487179
MYLU,rotation_3yr,2021,0.9286078632478633,0.8871794871794871,0.958974358974359
MYLU,rotation_3yr,2022,0.9283863247863248,0.8974358974358975,0.9538461538461539
MYLU,rotation_3yr,2023,0.968300170940171,0.9384615384615385,0.9846153846153847
MYLU,rotation_3yr,2024,0.9409210256410256,0.8923076923076924,0.9743589743589743
MYLU,rotation_4yr,2016,0.9340034722222222,0.8489583333333334,0.9895833333333334
MYLU,rotation_4yr,2017,0.97005625,0.9166666666666666,1
