species,scenario,year,psi_mean,psi_sd,psi_lcl,psi_ucl
MYLU,rotation_4yr,2018,0.9734311721134938,0.014943877616398846,0.9368029739776952,0.9962825278810409
MYLU,rotation_4yr,2019,0.9497986973418532,0.01341907739582247,0.9219330855018587,0.9702602230483272
MYLU,rotation_4yr,2020,0.9265458144327444,0.015797297567246096,0.8921933085501859,0.9553903345724907
MYLU,rotation_4yr,2021,0.9547095973537875,0.015014921781985135,0.9219330855018587,0.9776951672862454
MYLU,rotation_4yr,2022,0.9480226833092231,0.013708498901497133,0.9182156133828996,0.9702602230483272
MYLU,rotation_4yr,2023,0.9703661815995726,0.01170246382981191,0.9442379182156134,0.9888475836431226
MYLU,rotation_4yr,2024,0.9638119945823579,0.012624560694632312,0.9330855018587361,0.9851301115241635
MYLU,rotation_5yr,2016,0.901710246782254,0.029005649336078427,0.8371212121212122,0.9507575757575758
MYLU,rotation_5yr,2017,0.9328595738361715,0.020819335622987666,0.8863636363636364,0.9659090909090909
MYLU,rotation_5yr,2018,0.9664966496649665,0.015459452660997582,0.9318181818181818,0.9886363636363636
MYLU,rotation_5yr,2019,0.9430124830664884,0.01215405164522724,0.9166666666666666,0.9621212121212122
MYLU,rotation_5yr,2020,0.9090651489391363,0.01842766521984825,0.8712121212121212,0.9393939393939394
MYLU,rotation_5yr,2021,0.9544238514760567,0.011874885272008438,0.928030303030303,0.9734848484848485
MYLU,rotation_5yr,2022,0.9440205384174781,0.012553703446416218,0.9166666666666666,0.9659090909090909
MYLU,rotation_5yr,2023,0.9769314052617383,0.011305255799536396,0.9507575757575758,0.9924242424242424
MYLU,rotation_5yr,2024,0.9432628868947501,0.0135470031518428,0.9128787878787878,0.9659090909090909
MYSE,full,2016,0.27622119354792624,0.04733358647644876,0.19285714285714287,0.375
MYSE,full,2017,0.14058655865586558,0.02571153528859157,0.09285714285714286,0.19285714285714287
MYSE,full,2018,0.15394289428942895,0.019977423726689023,0.11785714285714285,0.19642857142857142
MYSE,full,2019,0.15538303830383038,0.016215876873372944,0.125,0.18928571428571428
MYSE,full,2020,0.1183089737545183,0.015140031040056815,0.08928571428571429,0.15
MYSE,full,2021,0.14067549612104066,0.014003717145376692,0.11428571428571428,0.17142857142857143
MYSE,full,2022,0.1280942379952281,0.013068904586722515,0.10357142857142858,0.15357142857142858
MYSE,full,2023,0.13529031474576028,0.01573533139373743,0.10714285714285714,0.16785714285714284
MYSE,full,2024,0.128017087423028,0.0173579640157163,0.09642857142857143,0.16428571428571428
MYSE,rotation_2yr,2016,0.27301651028412194,0.046126442738290925,0.1906474820143885,0.37050359712230213
MYSE,rotation_2yr,2017,0.14642111693183707,0.02603939064361694,0.09712230215827339,0.2014388489208633
MYSE,rotation_2yr,2018,0.15569326716844345,0.0216705143577818,0.11870503597122302,0.2014388489208633
MYSE,rotation_2yr,2019,0.1279059560632322,0.017492357701303553,0.09712230215827339,0.16546762589928057
MYSE,rotation_2yr,2020,0.10311462800956354,0.01328463282128697,0.07913669064748201,0.13309352517985612
MYSE,rotation_2yr,2021,0.13700974413988162,0.015189143380555443,0.1079136690647482,0.16906474820143885
MYSE,rotation_2yr,2022,0.12619355460725928,0.013658359860276349,0.10071942446043165,0.15467625899280577
MYSE,rotation_2yr,2023,0.11519317399365836,0.020210722858535993,0.07553956834532374,0.15467625899280577
MYSE,rotation_2yr,2024,0.13579631344429408,0.020370007012965666,0.10071942446043165,0.17985611510791366
MYSE,rotation_3yr,2016,0.2734661525854078,0.04701133834900246,0.19029850746268656,0.373134328358209
MYSE,rotation_3yr,2017,0.14218250183227277,0.02715599971859412,0.09328358208955224,0.19776119402985073
MYSE,rotation_3yr,2018,0.13723051409618572,0.022981321432281095,0.09701492537313433,0.1865671641791045
MYSE,rotation_3yr,2019,0.1630222723764914,0.018424890615912327,0.13059701492537312,0.20149253731343283
MYSE,rotation_3yr,2020,0.1209430644556993,0.016958736832067764,0.08955223880597014,0.15671641791044777
MYSE,rotation_3yr,2021,0.14624074347733282,0.015801182192258727,0.11567164179104478,0.1791044776119403
MYSE,rotation_3yr,2022,0.1258465398778684,0.01457086385736121,0.10074626865671642,0.15671641791044777
MYSE,rotation_3yr,2023,0.13910159672683686,0.019115802621356624,0.10074626865671642,0.1791044776119403
MYSE,rotation_3yr,2024,0.14905109913976472,0.023333152578805298,0.1044776119402985,0.19776119402985073
