"site","lat","long","grts_cell","region","water_nearby","site_type","dist_road_km","dist_harvest_km","region_idx","elevation_m","Quadrant"
"89962_SE",49.00974,-117.57236,89962,"Kootenay Region",0.520547945205479,"Always On",0.006560468573,0.6926835266,2,477,NA
"89962_SW",49.0077,-117.63034,89962,"Kootenay Region",0.520547945205479,"Always On",0.8385265622,1.949114285,2,448,NA
"93290_NE",49.443606,-119.565345,93290,"Okanagan Region",0,"Always On",0.2994743139,3.905937228,4,612,NA
"93290_NW",49.4153057,-119.6018008,93290,"Okanagan Region",1,"Always On",0.05326662817,2.431751285,4,369,NA
"93290_SE",49.384329,-119.5616458,93290,"Okanagan Region",1,"Always On",0.07001597073,2.125808577,4,341,NA
"93290_SW",49.37943,-119.59374,93290,"Okanagan Region",0,"Always On",0.1875848579,4.097361051,4,560,NA
"94522_NW",53.10732,-131.86467,94522,"Northern Region",1,"Always On",0.05104225867,0.0580305833,3,49,NA
"94522_SE",53.08196,-131.77925,94522,"Northern Region",1,"Always On",0,0.2107891547,3,89,NA
"9466_NE",57.34435226,-125.5093223,9466,"Northern Region",0.520547945205479,"Always On",0.1906551524,0.1261668858,3,748,NA
"9466_NW",57.345896,-125.5503739,9466,"Northern Region",0.520547945205479,"Always On",0.1119223908,0.1474106162,3,797,NA
"9466_SE",57.31574876,-125.4903741,9466,"Northern Region",0.520547945205479,"Always On",0,0.161702612,3,800,NA
"9466_SW",57.2948285,-125.5147378,9466,"Northern Region",0.520547945205479,"Always On",0.06707006024,0.5842346102,3,761,NA
"986_NE",53.188,-121.302249,986,"Northern Region",1,"Rotating",2.400135399,2.167391333,3,913,NA
"986_SE",53.139202,-121.257697,986,"Northern Region",1,"Rotating",2.45100423,1.930172639,3,920,NA
