"site","lat","long","grts_cell","region","water_nearby","site_type","dist_road_km","dist_harvest_km","region_idx","elevation_m","GRTS.Cell.ID","Quadrant"
"9466_NW",57.345896,-125.5503739,9466,"Northern Region",0.520547945205479,"Always On",0.1119223908,0.1474106162,2,797,NA,NA
"9466_SE",57.31574876,-125.4903741,9466,"Northern Region",0.520547945205479,"Always On",0,0.161702612,2,800,NA,NA
"9466_SW",57.2948285,-125.5147378,9466,"Northern Region",0.520547945205479,"Always On",0.06707006024,0.5842346102,2,761,NA,NA
"986_NE",53.188,-121.302249,986,"Northern Region",1,"Rotating",2.400135399,2.167391333,2,913,NA,NA
"986_SE",53.139202,-121.257697,986,"Northern Region",1,"Rotating",2.45100423,1.930172639,2,920,NA,NA
"111466_NE",49.001285,-115.0618438,111466,"Kootenay Region",NA,"Unknown",0.1265788814,1.601998155,NA,827,NA,NA
"111466_NW",49.01860875,-115.0956838,111466,"Kootenay Region",NA,"Unknown",0.1263126223,2.54403817,NA,819,NA,NA
"143338_NE",49.19987,-121.57586,143338,"South Coastal Region",0,"Unknown",0.1012082875,0.01220220296,NA,1159,NA,NA
"143338_NW",49.201168,-121.63672,143338,"South Coastal Region",0,"Unknown",0.1236350951,0,NA,651,NA,NA
"143338_SE",49.13192,-121.57613,143338,"South Coastal Region",0,"Unknown",0.005099909391,0,NA,855,NA,NA
"159722_NE",49.295209,-121.659387,159722,"South Coastal Region",1,"Unknown",NA,NA,NA,24,NA,NA
"159722_SE",49.247376,-121.598903,159722,"South Coastal Region",0,"Unknown",NA,NA,NA,676,NA,NA
"170042_NE",49.476391,-123.688973,170042,"South Coastal Region",0,"Unknown",0.009243343267,0,NA,301,NA,NA
"170042_SE",49.444805,-123.661756,170042,"South Coastal Region",1,"Unknown",0.1204343063,0.1320495794,NA,145,NA,NA
"186330_NE",55.95726904,-122.589492,186330,"Northern Region",1,"Unknown",NA,NA,NA,923,NA,NA
"186330_NW",55.94605604,-122.6592212,186330,"Northern Region",1,"Unknown",NA,NA,NA,736,NA,NA
"20730_SW",56.76456457,-124.985882,20730,"Northern Region",NA,"Unknown",0.02354291116,1.467795425,NA,694,NA,NA
"216746_SW",49.087453,-125.787414,216746,"South Coastal Region",1,"Unknown",NA,NA,NA,26,NA,NA
"219626_SW",48.92819429,-125.25,219626,"South Coastal Region",1,"Unknown",NA,NA,NA,7,NA,NA
"249914_NW",49.20584,-123.26255,249914,"South Coastal Region",NA,"Unknown",0,16.34353388,NA,0,NA,NA
"249914_SE",49.16442,-123.12268,249914,"South Coastal Region",NA,"Unknown",0.1334640604,21.44166061,NA,7,NA,NA
"249914_SW",49.16934,-123.19394,249914,"South Coastal Region",NA,"Unknown",0.08121820081,19.99120067,NA,5,NA,NA
"252394_NW",48.79865,-125.1656819,252394,"South Coastal Region",1,"Unknown",NA,NA,NA,12,NA,NA
"273050_SE",49.003475,-125.638285,273050,"South Coastal Region",1,"Unknown",NA,NA,NA,10,NA,NA
"47210_SW",49.79097,-119.9526683,47210,"Okanagan Region",NA,"Unknown",0.05750237826,0.392425406,NA,1186,NA,NA
"58842_NW",54.799517,-121.188599,58842,"Northern Region",NA,"Unknown",NA,NA,NA,825,NA,NA
"58842_SE",54.737807,-121.160519,58842,"Northern Region",NA,"Unknown",NA,NA,NA,990,NA,NA
"58842_SW",54.757158,-121.255406,58842,"Northern Region",NA,"Unknown",NA,NA,NA,997,NA,NA
"89962_NW",49.06438,-117.61592,89962,"Kootenay Region",NA,"Unknown",0.287926593,2.556154448,NA,405,NA,NA
"14222_NW",55.79907,-133.11502,NA,"Alaska",0,NA,0,NA,NA,48,14222,"NW"
"165326_SW",58.001551,-134.998695,NA,"Alaska",1,NA,8.06255908203125,NA,NA,183,165326,"SW"
"230862_NE",58.01877,-135.11627,NA,"Alaska",1,NA,3.60568579101562,NA,NA,128,230862,"NE"
"231310_SE",56.22812,-132.07308,NA,"Alaska",0,NA,2.1213994140625,NA,NA,128,231310,"SE"
"24782_NE",56.92286,-133.73519,NA,"Alaska",1,NA,1.00003735351563,NA,NA,91,24782,"NE"
"24782_NW",56.8968,-133.8058,NA,"Alaska",1,NA,0,NA,NA,4,24782,"NW"
"24782_SE",56.87244,-133.67403,NA,"Alaska",1,NA,0,NA,NA,35,24782,"SE"
"28110_NW",57.89266,-135.00079,NA,"Alaska",0,NA,14.560763671875,NA,NA,26,28110,"NW"
"28110_SW",57.82621,-134.99721,NA,"Alaska",1,NA,9.5528427734375,NA,NA,7,28110,"SW"
"30606_NE",55.35198,-132.87739,NA,"Alaska",1,NA,2.00007470703125,NA,NA,19,30606,"NE"
"30606_SE",55.28049,-132.82971,NA,"Alaska",1,NA,0,NA,NA,13,30606,"SE"
"32654_SE",56.23237,-133.07987,NA,"Alaska",0,NA,0,NA,NA,43,32654,"SE"
"50638_SW",58.06625,-135.20091,NA,"Alaska",0,NA,0.500018676757813,NA,NA,126,50638,"SW"
"7054_NE",55.87109,-132.88345,NA,"Alaska",1,NA,1.00003735351563,NA,NA,92,7054,"NE"
"99790_SE",57.92361,-134.93918,NA,"Alaska",1,NA,17.0300234375,NA,NA,22,99790,"SE"
